	en	fr	es	el
feedback_part_3	at the bottom right.	en bas à droite.	en la parte inferior derecha.	στο κάτω δεξιά μέρος της σελίδας.
disclaimer	Disclaimer	Avertissement	Descarga de responsabilidad	Αποποίηση ευθυνών
disclaimer_text	This software is provided ''as is'', without warranty of any kind, express or implied, including but not limited to the warranties of merchantability, fitness for a particular purpose and noninfringement. In no event shall the authors or copyright holders be liable for any claim, damages or other liability, whether in an action of contract, tort or otherwise, arising from, out of or in connection with the software or the use or other dealings in the software.	Ce logiciel est fourni tel quel, sans aucune garantie explicite ou implicite, y compris mais non limité à sa qualité marchande, sa robustesse et toute garantie d'absence de contrefaçon. En aucun cas, les auteurs ou détenteurs du copyright ne sont responsables pour toute réclamation, dommages ou autre responsabilité, en lien avec ce logiciel ou son utilisation.	Este software se proporciona ''tal cual'', sin garantía de ningún tipo, expresa o implícita, incluyendo pero no limitándose a las garantías de comerciabilidad, idoneidad para un propósito particular y no infracción. En ningún caso los autores o titulares de los derechos de autor serán responsables de ninguna reclamación, daño u otra responsabilidad, ya sea en una acción contractual, extracontractual o de otro tipo, que surja de o en relación con el software o el uso u otras transacciones en el software.	Αυτό το λογισμικό παρέχεται «ως έχει», χωρίς εγγύηση οποιουδήποτε είδους, ρητή ή σιωπηρή, συμπεριλαμβανομένων, ενδεικτικά, των εγγυήσεων εμπορευσιμότητας, καταλληλότητας για συγκεκριμένο σκοπό και μη παραβίασης. Σε καμία περίπτωση οι συγγραφείς ή οι κάτοχοι πνευματικών δικαιωμάτων δεν φέρουν ευθύνη για οποιαδήποτε αξίωση, ζημία ή άλλη ευθύνη, είτε σε πράξη συμβολαίου, αδικοπραξία ή άλλως, που προκύπτει από, από ή σε σχέση με το λογισμικό ή τη χρήση ή άλλες συναλλαγές στο λογισμικό.
privacy	Privacy	Sécurité	Privacidad	Ιδιωτικότητα
privacy_text	This plugin does not gather any personal data. We implemented Google analytics only to get feedback and statistics about the tool usage, in order to improve the next releases.	Cette extension n'utilise pas vos données personnelles. Les données récupérées via Google Analytics sont anonymisées et ne servent qu'à obtenir des statistiques d'usage sur l'utilisation de l'extension, dans le but d'améliorer les prochaines versions.	Este plugin no recoge ningún dato personal. Implementamos Google Analytics sólo para obtener estadísticas sobre el uso de la herramienta, con el fin de mejorar las próximas versiones.	Αυτή η προσθήκη δεν συλλέγει προσωπικά δεδομένα. Εφαρμόσαμε Google analytics μόνο για να λάβουμε σχόλια και στατιστικά στοιχεία σχετικά με τη χρήση του εργαλείου, προκειμένου να βελτιώσουμε τις επόμενες εκδόσεις.
info_invid_part_1	InVID was a Horizon 2020 innovation action funded by the European Union under grant agreement 687786 (2016-2018). For more information, visit our	InVID est un projet financé par le programme Horizon 2020 de l'Union Européenne, sous l'accord de subvention 687786 (2016-2018). Pour plus d'information sur le projet, visitez le	InVID fue una acción de innovación financiada por el programa cuadro Horizonte 2020 de la Unión Europea bajo el acuerdo de subvención 687786. Para más información, visite nuestra página web	Το InVID ήταν μια δράση καινοτομίας του προγράμματος «Ορίζοντας 2020» που χρηματοδοτήθηκε από την Ευρωπαϊκή Ένωση βάσει της σύμβασης επιχορήγησης 687786 (2016-2018). Για περισσότερες πληροφορίες, επισκεφθείτε τον
info_invid_website	InVID website	site InVID	InVid sitio web	ιστοχώρο του InVid
info_invid_link_website	http://www.invid-project.eu/	http://www.invid-project.eu/	http://www.invid-project.eu/	http://www.invid-project.eu/
info_invid_part_2	or follow us on	ou suivez-nous sur	o síganos en	ή ακολουθήστε μας στο
twitter	Twitter	Twitter	Twitter	Twitter
info_invid_link_twitter	https://twitter.com/InVID_EU	https://twitter.com/InVID_EU	https://twitter.com/InVID_EU	https://twitter.com/InVID_EU
info_invid_part_3	.	.	.	.
info_weverify_part_1	WeVerify is a new Horizon 2020 innovation action funded by the European Union under grant agreement 825297 (2018-2021). For more information, visit our	WeVerify est un nouveau projet Horizon 2020 financé par l'Union Européenne sous l'accord de subvention 825297 (2018-2021). Pour plus d'information sur ce nouveau projet, visitez le	WeVerify es una nueva acción de innovación financiada por el programa cuadro Horizonte 2020 de la Unión Europea bajo el acuerdo de subvención 825297 (2018-2021). Para más información, visite nuestra página web	Το WeVerify είναι μια νέα δράση καινοτομίας του προγράμματος «Ορίζοντας 2020» που χρηματοδοτείται από την Ευρωπαϊκή Ένωση βάσει της σύμβασης επιχορήγησης 825297 (2018-2021). Για περισσότερες πληροφορίες, επισκεφθείτε τον
info_weverify_website	WeVerify website	site WeVerify	WeVerify sitio web	ιστοχώρο WeVerify
info_weverify_link_website	https://weverify.eu/	https://weverify.eu/	https://weverify.eu/	https://weverify.eu/
info_weverify_part_2	or follow us on	ou suivez-nous sur	o síganos en	ή ακολουθήστε μας στο
info_weverify_link_twitter	https://twitter.com/WeVerify	https://twitter.com/WeVerify	https://twitter.com/WeVerify	https://twitter.com/WeVerify
developed_text_part_1	The initial versions (0.1-0.7) of this plugin have been developed by	Les premières versions (0.1-0.7) de cette extension ont été développées par le	Las primeras versiones (0.1-0.7) de esta extensión han sido desarrolladas por el	Οι αρχικές εκδόσεις (0.1-0.7) αυτού του λογισμικού έχουν αναπτυχθεί από το
medialab_link_label	AFP Medialab	Medialab de l'AFP	Medialab de AFP	AFP Medialab
medialab_link	https://www.afp.com/en/medialab/	https://www.afp.com/en/medialab/	https://www.afp.com/en/medialab/	https://www.afp.com/en/medialab/
developed_text_part_2	(Denis TEYSSOU, Bertrand GOUPIL, Dominique FERRANDINI with the help of Laurent LACROIX, Eric SCHAEFFER, Jean-Michel LEUNG, Nathan GOYAT, Axel VIGNY, Juliette CASTERAN, Thibault LHUILLIER, Duyen THI DO, Anatole ROULET, Marius POPARASCU and Enrique NIETO ARRANZ). The underlying services are provided by	(Denis TEYSSOU, Bertrand GOUPIL, Dominique FERRANDINI, Laurent LACROIX, Eric SCHAEFFER, Jean-Michel LEUNG, Nathan GOYAT, Axel VIGNY, Juliette CASTERAN, Thibault LHUILLIER, Duyen THI DO, Anatole ROULET, Marius POPARASCU et Enrique NIETO ARRANZ). Les services sous-jacents sont fournis par	(Denis TEYSSOU, Bertrand GOUPIL, Dominique FERRANDINI, Laurent LACROIX, Eric SCHAEFFER, Jean-Michel LEUNG, Nathan GOYAT, Axel VIGNY, Juliette CASTERAN, Thibault LHUILLIER, Duyen THI DO, Anatole ROULET, Marius POPARASCU y Enrique NIETO ARRANZ). Los servicios sub-yacentes son prestados por	(Denis TEYSSOU, Jean-Michel LEUNG, Nathan GOYAT, Bertrand GOUPIL, Axel VIGNY, Laurent LACROIX, Juliette Casteran, Thibault LHUILLIER, Anatole ROULET, Marius POPARASCU and Enrique NIETO ARRANZ). Οι υποκείμενες υπηρεσίες παρέχονται από το
iti_link	http://mklab.iti.gr/	http://mklab.iti.gr/	http://mklab.iti.gr/	http://mklab.iti.gr/
iti_link_label	Thessaloniki Information Technologies Institute	Thessaloniki Information Technologies Institute	Thessaloniki Information Technologies Institute	Ινστιτούτο Τεχνολογιών Πληροφορικής και Επικοινωνιών
developed_text_part_3	(ITI, CERTH) and	(ITI, CERTH) et	(ITI, CERTH) y	(ΙΠΤΗΛ, ΕΚΕΤΑ) και
lleida_link	http://griho.udl.cat/	http://griho.udl.cat/	http://griho.udl.cat/	http://griho.udl.cat/
lleida_link_label	The University de Lleida	l'Université de Lleida	la Universitat de Lleida	Πανεπιστήμιο του Lleida
developed_text_part_4	.	.	.	.
about_human_rights	For Human Rights defenders	Pour les défenseurs des Droits de l'Homme	Para los defensores de los Derechos Humanos	Για υπερασπιστές των ανθρωπίνων δικαιωμάτων
quiz_unlock_explanations	Unlock Interactive explanations	Déverrouiller les explications de interactif	Desbloquear las explicaciones de la prueba	Ξεκλείδωμα διαδραστικών εξηγήσεων
cookies_usage	Accept use of cookies	Accepter l’utilisation de cookies	Aceptar el uso de cookies	Αποδεχτείτε τη χρήση των cookies
