	en	fr	es	el	hy
twitter_reply	All replies	Toutes les réponses	Todas las respuestas	Όλες οι απαντήσεις	Բոլոր պատասխանները
twitter_reply_verified	Verification replies	Réponses de vérification	Respuestas de verificación	Απαντήσεις επαλήθευσης	Ստուգման պատասխաններ
twitter_reply_link	Replies that contain links	Réponses contenant des liens	Respuestas que contienen enlaces	Απαντήσεις που περιέχουν συνδέσμους	Պատասխաններ, որոնք պարունակում են հղումներ
twitter_replies	Replies	Réponses	Respuestas	Απαντήσεις	Պատասխանում է
twitter_video_replies	Video replies	Réponses vidéo	Respuestas en video	Απαντήσεις βίντεο	Տեսանյութերի պատասխաններ
video_card_header	Source of the video	Source de la vidéo	Fuente del video	Πηγή του βίντεο	Տեսանյութի աղբյուրը
image_card_header	Source of the image	Origine de l'image	Fuente de la imagen	Πηγή της εικόνας	Պատկերի աղբյուր
user	User	Utilisateur	Usuario	Χρήστης	Օգտվող
profile_creator	Profile	Profil	Perfil	Προφίλ	Պրոֆիլ
cardheader_results	Results	Résultats	Resultados	Αποτελέσματα	Արդյունքները
